"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"381",2008,"Quintile 1","Men","20",165,125
"383",2008,"Quintile 1","Men","21-24",390,295
"385",2008,"Quintile 1","Men","25-29",210,140
"387",2008,"Quintile 1","Men","30-34",105,75
"389",2008,"Quintile 1","Men","35 and over",155,95
"391",2008,"Quintile 1","Women","17 and under",70,45
"393",2008,"Quintile 1","Women","18",825,555
"395",2008,"Quintile 1","Women","19",265,180
"397",2008,"Quintile 1","Women","20",235,160
"399",2008,"Quintile 1","Women","21-24",540,370
"401",2008,"Quintile 1","Women","25-29",300,205
"403",2008,"Quintile 1","Women","30-34",145,100
"405",2008,"Quintile 1","Women","35 and over",205,145
"407",2008,"Quintile 2","Men","17 and under",70,45
"409",2008,"Quintile 2","Men","18",900,715
"411",2008,"Quintile 2","Men","19",230,165
"413",2008,"Quintile 2","Men","20",215,165
"415",2008,"Quintile 2","Men","21-24",430,315
"417",2008,"Quintile 2","Men","25-29",265,200
"419",2008,"Quintile 2","Men","30-34",95,60
"421",2008,"Quintile 2","Men","35 and over",145,110
"423",2008,"Quintile 2","Women","17 and under",100,65
"425",2008,"Quintile 2","Women","18",1300,940
"427",2008,"Quintile 2","Women","19",345,245
"429",2008,"Quintile 2","Women","20",295,220
"431",2008,"Quintile 2","Women","21-24",540,400
"433",2008,"Quintile 2","Women","25-29",290,215
"435",2008,"Quintile 2","Women","30-34",110,80
"437",2008,"Quintile 2","Women","35 and over",235,175
"439",2008,"Quintile 3","Men","17 and under",115,85
"441",2008,"Quintile 3","Men","18",1360,1090
"443",2008,"Quintile 3","Men","19",390,310
"445",2008,"Quintile 3","Men","20",245,190
"447",2008,"Quintile 3","Men","21-24",490,385
"449",2008,"Quintile 3","Men","25-29",235,175
"451",2008,"Quintile 3","Men","30-34",90,70
"453",2008,"Quintile 3","Men","35 and over",125,90
"455",2008,"Quintile 3","Women","17 and under",175,115
"457",2008,"Quintile 3","Women","18",1880,1465
"459",2008,"Quintile 3","Women","19",465,360
"461",2008,"Quintile 3","Women","20",320,235
"463",2008,"Quintile 3","Women","21-24",605,430
"465",2008,"Quintile 3","Women","25-29",270,185
"467",2008,"Quintile 3","Women","30-34",110,70
"469",2008,"Quintile 3","Women","35 and over",230,175
"471",2008,"Quintile 4","Men","17 and under",145,105
"473",2008,"Quintile 4","Men","18",2065,1705
"475",2008,"Quintile 4","Men","19",500,415
"477",2008,"Quintile 4","Men","20",285,240
"479",2008,"Quintile 4","Men","21-24",520,430
"481",2008,"Quintile 4","Men","25-29",235,160
"483",2008,"Quintile 4","Men","30-34",85,60
"485",2008,"Quintile 4","Men","35 and over",95,65
"487",2008,"Quintile 4","Women","17 and under",195,135
"489",2008,"Quintile 4","Women","18",2525,2000
"491",2008,"Quintile 4","Women","19",615,485
"493",2008,"Quintile 4","Women","20",365,275
"495",2008,"Quintile 4","Women","21-24",550,390
"497",2008,"Quintile 4","Women","25-29",220,150
"499",2008,"Quintile 4","Women","30-34",110,85
"501",2008,"Quintile 4","Women","35 and over",290,230
"503",2008,"Quintile 5","Men","17 and under",175,130
"505",2008,"Quintile 5","Men","18",2905,2515
"507",2008,"Quintile 5","Men","19",645,545
"509",2008,"Quintile 5","Men","20",380,305
"511",2008,"Quintile 5","Men","21-24",700,565
"513",2008,"Quintile 5","Men","25-29",240,185
"515",2008,"Quintile 5","Men","30-34",80,60
"517",2008,"Quintile 5","Men","35 and over",90,70
"519",2008,"Quintile 5","Women","17 and under",210,145
"521",2008,"Quintile 5","Women","18",3400,2825
"523",2008,"Quintile 5","Women","19",755,600
"525",2008,"Quintile 5","Women","20",420,325
"527",2008,"Quintile 5","Women","21-24",620,460
"529",2008,"Quintile 5","Women","25-29",250,180
"531",2008,"Quintile 5","Women","30-34",100,70
"533",2008,"Quintile 5","Women","35 and over",250,180
"535",2008,"Unknown","Men","17 and under",15,10
"537",2008,"Unknown","Men","18",185,140
"539",2008,"Unknown","Men","19",40,35
"541",2008,"Unknown","Men","20",35,30
"543",2008,"Unknown","Men","21-24",85,65
"545",2008,"Unknown","Men","25-29",35,25
"547",2008,"Unknown","Men","30-34",25,15
