"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"2213",2017,"Quintile 5","Men","19",900,710
"2215",2017,"Quintile 5","Men","20",465,330
"2217",2017,"Quintile 5","Men","21-24",870,575
"2219",2017,"Quintile 5","Men","25-29",400,235
"2221",2017,"Quintile 5","Men","30-34",170,100
"2223",2017,"Quintile 5","Men","35 and over",195,115
"2225",2017,"Quintile 5","Women","17 and under",140,85
"2227",2017,"Quintile 5","Women","18",3525,2850
"2229",2017,"Quintile 5","Women","19",1050,810
"2231",2017,"Quintile 5","Women","20",560,420
"2233",2017,"Quintile 5","Women","21-24",1120,755
"2235",2017,"Quintile 5","Women","25-29",580,355
"2237",2017,"Quintile 5","Women","30-34",255,150
"2239",2017,"Quintile 5","Women","35 and over",545,310
"2241",2017,"Unknown","Men","18",10,10
"2243",2017,"Unknown","Men","19",10,5
"2245",2017,"Unknown","Men","20",10,5
"2247",2017,"Unknown","Men","21-24",10,5
"2249",2017,"Unknown","Men","25-29",10,5
"2251",2017,"Unknown","Men","30-34",5,0
"2253",2017,"Unknown","Men","35 and over",5,0
"2255",2017,"Unknown","Women","18",15,10
"2257",2017,"Unknown","Women","19",20,20
"2259",2017,"Unknown","Women","20",15,10
"2261",2017,"Unknown","Women","21-24",35,25
"2263",2017,"Unknown","Women","25-29",20,10
"2265",2017,"Unknown","Women","30-34",5,5
"2267",2017,"Unknown","Women","35 and over",5,5
"2269",2018,"Quintile 1","Men","17 and under",35,20
"2271",2018,"Quintile 1","Men","18",695,545
"2273",2018,"Quintile 1","Men","19",220,165
"2275",2018,"Quintile 1","Men","20",275,205
"2277",2018,"Quintile 1","Men","21-24",660,470
"2279",2018,"Quintile 1","Men","25-29",395,255
"2281",2018,"Quintile 1","Men","30-34",230,145
"2283",2018,"Quintile 1","Men","35 and over",285,165
"2285",2018,"Quintile 1","Women","17 and under",55,45
"2287",2018,"Quintile 1","Women","18",1245,925
"2289",2018,"Quintile 1","Women","19",445,325
"2291",2018,"Quintile 1","Women","20",415,290
"2293",2018,"Quintile 1","Women","21-24",1080,720
"2295",2018,"Quintile 1","Women","25-29",750,480
"2297",2018,"Quintile 1","Women","30-34",480,305
"2299",2018,"Quintile 1","Women","35 and over",680,400
"2301",2018,"Quintile 2","Men","17 and under",55,35
"2303",2018,"Quintile 2","Men","18",905,740
"2305",2018,"Quintile 2","Men","19",260,190
"2307",2018,"Quintile 2","Men","20",290,200
"2309",2018,"Quintile 2","Men","21-24",660,450
"2311",2018,"Quintile 2","Men","25-29",410,245
"2313",2018,"Quintile 2","Men","30-34",195,125
"2315",2018,"Quintile 2","Men","35 and over",240,150
"2317",2018,"Quintile 2","Women","17 and under",85,60
"2319",2018,"Quintile 2","Women","18",1625,1270
"2321",2018,"Quintile 2","Women","19",520,360
"2323",2018,"Quintile 2","Women","20",420,300
"2325",2018,"Quintile 2","Women","21-24",1045,680
"2327",2018,"Quintile 2","Women","25-29",710,440
"2329",2018,"Quintile 2","Women","30-34",420,250
"2331",2018,"Quintile 2","Women","35 and over",630,400
"2333",2018,"Quintile 3","Men","17 and under",90,65
"2335",2018,"Quintile 3","Men","18",1285,995
"2337",2018,"Quintile 3","Men","19",485,360
"2339",2018,"Quintile 3","Men","20",345,240
"2341",2018,"Quintile 3","Men","21-24",700,480
"2343",2018,"Quintile 3","Men","25-29",350,220
"2345",2018,"Quintile 3","Men","30-34",170,105
"2347",2018,"Quintile 3","Men","35 and over",240,140
"2349",2018,"Quintile 3","Women","17 and under",120,85
"2351",2018,"Quintile 3","Women","18",2135,1630
"2353",2018,"Quintile 3","Women","19",720,525
"2355",2018,"Quintile 3","Women","20",475,355
"2357",2018,"Quintile 3","Women","21-24",1105,700
"2359",2018,"Quintile 3","Women","25-29",630,400
"2361",2018,"Quintile 3","Women","30-34",365,220
"2363",2018,"Quintile 3","Women","35 and over",665,425
"2365",2018,"Quintile 4","Men","17 and under",110,70
"2367",2018,"Quintile 4","Men","18",1860,1510
"2369",2018,"Quintile 4","Men","19",690,560
"2371",2018,"Quintile 4","Men","20",415,310
"2373",2018,"Quintile 4","Men","21-24",735,480
"2375",2018,"Quintile 4","Men","25-29",335,220
"2377",2018,"Quintile 4","Men","30-34",160,90
"2379",2018,"Quintile 4","Men","35 and over",245,140
"2381",2018,"Quintile 4","Women","17 and under",145,105
"2383",2018,"Quintile 4","Women","18",2680,2150
"2385",2018,"Quintile 4","Women","19",930,715
"2387",2018,"Quintile 4","Women","20",540,390
"2389",2018,"Quintile 4","Women","21-24",1090,715
"2391",2018,"Quintile 4","Women","25-29",620,385
"2393",2018,"Quintile 4","Women","30-34",320,205
"2395",2018,"Quintile 4","Women","35 and over",670,385
"2397",2018,"Quintile 5","Men","17 and under",130,85
"2399",2018,"Quintile 5","Men","18",2665,2240
"2401",2018,"Quintile 5","Men","19",1005,795
"2403",2018,"Quintile 5","Men","20",475,355
"2405",2018,"Quintile 5","Men","21-24",885,600
"2407",2018,"Quintile 5","Men","25-29",375,250
"2409",2018,"Quintile 5","Men","30-34",160,90
"2411",2018,"Quintile 5","Men","35 and over",220,130
"2413",2018,"Quintile 5","Women","17 and under",155,105
"2415",2018,"Quintile 5","Women","18",3425,2790
"2417",2018,"Quintile 5","Women","19",1115,860
"2419",2018,"Quintile 5","Women","20",570,410
"2421",2018,"Quintile 5","Women","21-24",1115,705
"2423",2018,"Quintile 5","Women","25-29",500,300
"2425",2018,"Quintile 5","Women","30-34",260,150
"2427",2018,"Quintile 5","Women","35 and over",600,350
"2429",2018,"Unknown","Men","18",15,10
"2431",2018,"Unknown","Men","19",10,10
"2433",2018,"Unknown","Men","20",5,5
"2435",2018,"Unknown","Men","21-24",15,10
"2437",2018,"Unknown","Men","25-29",10,5
"2439",2018,"Unknown","Men","30-34",15,10
"2441",2018,"Unknown","Men","35 and over",5,5
"2443",2018,"Unknown","Women","18",35,30
"2445",2018,"Unknown","Women","19",20,15
"2447",2018,"Unknown","Women","20",10,5
"2449",2018,"Unknown","Women","21-24",20,15
"2451",2018,"Unknown","Women","25-29",15,10
"2453",2018,"Unknown","Women","30-34",5,5
"2455",2018,"Unknown","Women","35 and over",5,5
"2457",2019,"Quintile 1","Men","17 and under",50,35
"2459",2019,"Quintile 1","Men","18",680,515
"2461",2019,"Quintile 1","Men","19",235,180
"2463",2019,"Quintile 1","Men","20",235,180
"2465",2019,"Quintile 1","Men","21-24",675,475
"2467",2019,"Quintile 1","Men","25-29",420,275
"2469",2019,"Quintile 1","Men","30-34",225,145
"2471",2019,"Quintile 1","Men","35 and over",315,170
"2473",2019,"Quintile 1","Women","17 and under",80,55
"2475",2019,"Quintile 1","Women","18",1320,965
"2477",2019,"Quintile 1","Women","19",420,280
"2479",2019,"Quintile 1","Women","20",385,275
"2481",2019,"Quintile 1","Women","21-24",1080,705
"2483",2019,"Quintile 1","Women","25-29",770,470
"2485",2019,"Quintile 1","Women","30-34",530,340
"2487",2019,"Quintile 1","Women","35 and over",735,455
"2489",2019,"Quintile 2","Men","17 and under",45,35
"2491",2019,"Quintile 2","Men","18",835,655
"2493",2019,"Quintile 2","Men","19",280,200
"2495",2019,"Quintile 2","Men","20",265,190
"2497",2019,"Quintile 2","Men","21-24",680,475
"2499",2019,"Quintile 2","Men","25-29",355,225
"2501",2019,"Quintile 2","Men","30-34",195,130
"2503",2019,"Quintile 2","Men","35 and over",240,145
"2505",2019,"Quintile 2","Women","17 and under",75,45
"2507",2019,"Quintile 2","Women","18",1560,1140
"2509",2019,"Quintile 2","Women","19",475,335
"2511",2019,"Quintile 2","Women","20",385,260
"2513",2019,"Quintile 2","Women","21-24",1025,615
"2515",2019,"Quintile 2","Women","25-29",645,395
"2517",2019,"Quintile 2","Women","30-34",395,240
"2519",2019,"Quintile 2","Women","35 and over",620,360
"2521",2019,"Quintile 3","Men","17 and under",85,55
"2523",2019,"Quintile 3","Men","18",1140,915
"2525",2019,"Quintile 3","Men","19",420,355
"2527",2019,"Quintile 3","Men","20",315,215
"2529",2019,"Quintile 3","Men","21-24",690,455
"2531",2019,"Quintile 3","Men","25-29",320,210
"2533",2019,"Quintile 3","Men","30-34",165,105
"2535",2019,"Quintile 3","Men","35 and over",235,145
"2537",2019,"Quintile 3","Women","17 and under",125,85
"2539",2019,"Quintile 3","Women","18",2035,1565
"2541",2019,"Quintile 3","Women","19",715,545
"2543",2019,"Quintile 3","Women","20",440,310
"2545",2019,"Quintile 3","Women","21-24",1065,715
"2547",2019,"Quintile 3","Women","25-29",650,410
"2549",2019,"Quintile 3","Women","30-34",365,235
"2551",2019,"Quintile 3","Women","35 and over",620,365
"2553",2019,"Quintile 4","Men","17 and under",115,80
"2555",2019,"Quintile 4","Men","18",1690,1365
"2557",2019,"Quintile 4","Men","19",660,520
"2559",2019,"Quintile 4","Men","20",380,285
"2561",2019,"Quintile 4","Men","21-24",720,480
"2563",2019,"Quintile 4","Men","25-29",365,225
"2565",2019,"Quintile 4","Men","30-34",140,95
"2567",2019,"Quintile 4","Men","35 and over",200,115
"2569",2019,"Quintile 4","Women","17 and under",145,100
"2571",2019,"Quintile 4","Women","18",2660,2115
"2573",2019,"Quintile 4","Women","19",885,675
"2575",2019,"Quintile 4","Women","20",495,360
"2577",2019,"Quintile 4","Women","21-24",1010,645
"2579",2019,"Quintile 4","Women","25-29",550,350
"2581",2019,"Quintile 4","Women","30-34",315,180
"2583",2019,"Quintile 4","Women","35 and over",635,380
"2585",2019,"Quintile 5","Men","17 and under",115,85
"2587",2019,"Quintile 5","Men","18",2550,2130
"2589",2019,"Quintile 5","Men","19",870,715
"2591",2019,"Quintile 5","Men","20",425,315
"2593",2019,"Quintile 5","Men","21-24",830,560
"2595",2019,"Quintile 5","Men","25-29",345,215
"2597",2019,"Quintile 5","Men","30-34",140,85
"2599",2019,"Quintile 5","Men","35 and over",220,115
"2601",2019,"Quintile 5","Women","17 and under",160,95
"2603",2019,"Quintile 5","Women","18",3385,2830
"2605",2019,"Quintile 5","Women","19",1050,835
"2607",2019,"Quintile 5","Women","20",475,355
"2609",2019,"Quintile 5","Women","21-24",1060,720
"2611",2019,"Quintile 5","Women","25-29",545,345
"2613",2019,"Quintile 5","Women","30-34",235,135
"2615",2019,"Quintile 5","Women","35 and over",580,335
"2617",2019,"Unknown","Men","18",40,35
"2619",2019,"Unknown","Men","19",15,10
"2621",2019,"Unknown","Men","20",5,5
"2623",2019,"Unknown","Men","21-24",30,20
"2625",2019,"Unknown","Men","25-29",15,15
"2627",2019,"Unknown","Men","30-34",15,5
"2629",2019,"Unknown","Men","35 and over",5,5
"2631",2019,"Unknown","Women","17 and under",5,5
"2633",2019,"Unknown","Women","18",45,35
"2635",2019,"Unknown","Women","19",20,15
"2637",2019,"Unknown","Women","20",25,20
"2639",2019,"Unknown","Women","21-24",55,35
"2641",2019,"Unknown","Women","25-29",35,20
"2643",2019,"Unknown","Women","30-34",15,10
"2645",2019,"Unknown","Women","35 and over",35,20
